rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
185,frame_0214.jpg,85.6,0.3759,0.5438,0.0,0.52,3,0,False,False
186,frame_0201.jpg,80.4,0.3752,0.4407,0.1429,0.56,3,1,False,False
187,frame_0171.jpg,68.4,0.371,0.4802,0.1429,0.44,6,1,False,False
188,frame_0178.jpg,71.2,0.369,0.4168,0.4286,0.16,6,3,False,False
189,frame_0004.jpg,1.6,0.368,0.3361,0.0,1.0,4,0,False,False
190,frame_0385.jpg,154.0,0.3679,0.4843,0.2857,0.2,8,2,False,False
191,frame_0197.jpg,78.8,0.3645,0.4832,0.1429,0.4,2,1,False,False
192,frame_0184.jpg,73.6,0.3642,0.525,0.2857,0.08,7,2,False,False
193,frame_0394.jpg,157.6,0.361,0.5185,0.2857,0.08,5,2,False,False
194,frame_0217.jpg,86.8,0.359,0.4722,0.1429,0.4,3,1,False,False
195,frame_0289.jpg,115.6,0.3577,0.3257,0.1429,0.76,6,1,False,False
196,frame_0304.jpg,121.6,0.3574,0.5011,0.1429,0.32,7,1,False,False
197,frame_0110.jpg,44.0,0.3567,0.4939,0.2857,0.12,3,2,False,False
198,frame_0096.jpg,38.4,0.3527,0.4859,0.2857,0.12,6,2,False,False
199,frame_0222.jpg,88.8,0.3497,0.448,0.2857,0.2,6,2,False,False
200,frame_0088.jpg,35.2,0.3488,0.5216,0.0,0.44,4,0,False,False
201,frame_0085.jpg,34.0,0.3485,0.3873,0.1429,0.56,4,1,False,False
202,frame_0120.jpg,48.0,0.3465,0.3992,0.1429,0.52,5,1,False,False
203,frame_0323.jpg,129.2,0.3462,0.473,0.2857,0.12,5,2,False,False
204,frame_0104.jpg,41.6,0.3449,0.556,0.1429,0.12,5,1,False,False
205,frame_0125.jpg,50.0,0.3406,0.3931,0.0,0.72,6,0,False,False
206,frame_0273.jpg,109.2,0.3404,0.547,0.1429,0.12,6,1,False,False
207,frame_0269.jpg,107.6,0.3402,0.5786,0.1429,0.04,4,1,False,False
208,frame_0112.jpg,44.8,0.3382,0.4249,0.2857,0.2,4,2,False,False
209,frame_0376.jpg,150.4,0.3359,0.6079,0.0,0.16,8,0,False,False
210,frame_0284.jpg,113.6,0.3348,0.3598,0.1429,0.56,6,1,False,False
211,frame_0123.jpg,49.2,0.3344,0.4127,0.0,0.64,5,0,False,False
212,frame_0122.jpg,48.8,0.3333,0.4266,0.0,0.6,4,0,False,False
213,frame_0281.jpg,112.4,0.3322,0.4027,0.1429,0.44,4,1,False,False
214,frame_0084.jpg,33.6,0.3293,0.3328,0.1429,0.6,3,1,False,False
215,frame_0226.jpg,90.4,0.3282,0.4689,0.2857,0.04,5,2,False,False
216,frame_0102.jpg,40.8,0.3279,0.4363,0.2857,0.12,4,2,False,False
217,frame_0213.jpg,85.2,0.326,0.3422,0.1429,0.56,4,1,False,False
218,frame_0216.jpg,86.4,0.3246,0.3874,0.1429,0.44,4,1,False,False
219,frame_0121.jpg,48.4,0.3218,0.3339,0.1429,0.56,4,1,False,False
220,frame_0023.jpg,9.2,0.3196,0.2391,0.0,1.0,3,0,False,False
221,frame_0173.jpg,69.2,0.3196,0.4095,0.1429,0.36,6,1,False,False
222,frame_0117.jpg,46.8,0.3184,0.4767,0.0,0.4,7,0,False,False
223,frame_0311.jpg,124.4,0.3182,0.4489,0.2857,0.04,4,2,False,False
224,frame_0196.jpg,78.4,0.3142,0.3987,0.1429,0.36,3,1,False,False
225,frame_0199.jpg,79.6,0.311,0.4301,0.0,0.48,2,0,False,False
226,frame_0218.jpg,87.2,0.3061,0.3824,0.1429,0.36,4,1,False,False
227,frame_0191.jpg,76.4,0.3016,0.3678,0.2857,0.16,4,2,False,False
228,frame_0372.jpg,148.8,0.2981,0.4624,0.1429,0.12,7,1,False,False
229,frame_0303.jpg,121.2,0.2953,0.3609,0.1429,0.36,6,1,False,False
230,frame_0285.jpg,114.0,0.2925,0.2592,0.1429,0.6,6,1,False,False
231,frame_0106.jpg,42.4,0.2913,0.3952,0.2857,0.04,7,2,False,False
232,frame_0391.jpg,156.4,0.2859,0.47,0.1429,0.04,10,1,False,False
233,frame_0087.jpg,34.8,0.2858,0.2938,0.1429,0.48,3,1,False,False
234,frame_0220.jpg,88.0,0.2856,0.3735,0.1429,0.28,4,1,False,False
235,frame_0316.jpg,126.4,0.2754,0.4869,0.0,0.16,9,0,False,False
236,frame_0090.jpg,36.0,0.2737,0.4035,0.0,0.36,5,0,False,False
237,frame_0280.jpg,112.0,0.2697,0.3793,0.0,0.4,4,0,False,False
238,frame_0024.jpg,9.6,0.2696,0.1392,0.0,1.0,4,0,False,False
239,frame_0093.jpg,37.2,0.2649,0.2624,0.2857,0.24,5,2,False,False
240,frame_0295.jpg,118.0,0.264,0.2559,0.0,0.68,4,0,False,False
241,frame_0371.jpg,148.4,0.2568,0.3958,0.1429,0.08,8,1,False,False
242,frame_0271.jpg,108.4,0.2549,0.4938,0.0,0.04,4,0,False,False
243,frame_0228.jpg,91.2,0.2521,0.4882,0.0,0.04,6,0,False,False
244,frame_0190.jpg,76.0,0.2488,0.3639,0.1429,0.12,4,1,False,False
245,frame_0097.jpg,38.8,0.2445,0.457,0.0,0.08,7,0,False,False
246,frame_0282.jpg,112.8,0.243,0.2082,0.1429,0.48,6,1,False,False
247,frame_0101.jpg,40.4,0.2416,0.3655,0.1429,0.08,6,1,False,False
248,frame_0310.jpg,124.0,0.2381,0.3584,0.1429,0.08,7,1,False,False
249,frame_0183.jpg,73.2,0.2368,0.4575,0.0,0.04,4,0,False,False
250,frame_0325.jpg,130.0,0.2256,0.3495,0.1429,0.04,7,1,False,False
251,frame_0313.jpg,125.2,0.2127,0.4093,0.0,0.04,3,0,False,False
252,frame_0198.jpg,79.2,0.199,0.2219,0.0,0.44,3,0,False,False
253,frame_0317.jpg,126.8,0.1988,0.3176,0.0,0.2,9,0,False,False
254,frame_0272.jpg,108.8,0.1951,0.2724,0.1429,0.08,4,1,False,False
255,frame_0224.jpg,89.6,0.151,0.254,0.0,0.12,7,0,False,False
256,frame_0111.jpg,44.4,0.1173,0.1706,0.0,0.16,4,0,False,False
